sentence,label,validity,faults,domain,year,title,source,slide
Environmental Damage.,loss,valid,valid,water,2018,STPA Application in Hydropower: Piloting Experience,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/Wed-To-PUB-STPA-Application-in-Hydropower-Piloting-Experience.pdf,8.0
Environmental loss (release).,loss,valid,valid,nuclear,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,57.0
Environmental loss.,loss,valid,valid,other,2018,Opportunities and Challenges of Applying STPA to Subsea Operations,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-to-Subsea-20180329-Kim.pdf,14.0
Environmental loss/pollution.,loss,valid,valid,maritime,2023,The utilization of STPA on the ship navigation system,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1010__Marios-Anestis-Koimtzoglou__PUB.pdf,11.0
Environmental losses.,loss,valid,valid,aerospace,2019,STPA Applied to Launch Operations Management,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Merladet__PUB__STPA-MIT-STAMP-WORKSHOP-2019-28-03-19.pdf,10.0
Environmental losses.,loss,valid,valid,laboratory,2023,STPA Applied for Energetic Materials Handling in Research Laboratories,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1100__Karen-Stephanie-de-Andrade__PUB.pdf,10.0
"Environmental: oil and fuel pollution, debris in nature.",loss,valid,valid,aviation,2019,Active STPA – A Systems-based Hazard Analysis for Safety Management Systems (SMS),http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Diogo-Castilho-on-Active-STPA.pdf,10.0
Equipment damage (economic loss).,loss,valid,valid,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,4.0
Equipment Damage.,loss,valid,valid,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8.0
Equipment is subject to unexpected stress.,hazard,valid,valid,medicine,2018,Experiences with STPA in Radiation Therapy,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/Wed-PUB-Pawlicki-STAMP-2018.pdf,10.0
EQUIPMENT IS SUBJECT TO UNNECESSARY STRESS.,hazard,valid,valid,medicine,2014,Analyzing Safety of Radiation Therapy Procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2014/03/CBCT_ONLY_SRS_STPA_STAMPCONF_ASedit_3-24.pdf,8.0
Equipment is subject to unnecessary stress.,hazard,valid,valid,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13.0
Equipment operated beyond limits.,hazard,valid,valid,nuclear,2013,Evaluating the Safety of Digital Instrumentation and Control Systems in Nuclear Power Plants,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Thomas_Evaluating_Safety_Digital_Instrumentation_Control.pdf,5.0
Equipment Operated Beyond Limits.,hazard,valid,valid,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8.0
Equipment or procedure entraps user during processing.,hazard,invalid,condition,aviation,2020,"STPA Applied for Safety, Security, and Privacy Issues in Smart Airport Terminal New Concepts",https://psas.scripts.mit.edu/home/wp-content/uploads/2020/08/Airport-Terminal-Safety-Security-Privacy.pdf,11.0
Equipment subject to unnecessary stress.,hazard,valid,valid,medicine,2015,STPA Analysis of Changes in the Process for Stereotactic Radiosurgery and Radiography,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Samost-Radiosurgery.pdf,10.0
Equipment under unnecessary stress.,hazard,valid,valid,robot,2022,STPA and Autonomy : Friends or foes ? A case study analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-08-1140__Laure%20Buysse__PUB.pdf,10.0
Erroneous arrival of product.,loss,invalid,not,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Erroneous payment to supplier.,loss,invalid,not,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain ,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Excavator within the vicinity of overhead electric lines.,hazard,valid,valid,other,2017,Towards a STAMP-Based Safety Plans Approach for Construction Projects,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Ioannis-Dokas_Towards-A-STAMP-Based-Safety-Plans-Approach-For-Construction.pdf,12.0
Exceeding structure load limits.,hazard,valid,valid,aviation,2022,System-Theoretic Process Analysis (STPA) Evaluation of Boeing's Automated Test Maneuvers (ATM) System,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-06-1250__Darren%20McDonald__PUB.pdf,5.0
Exceeding the safe operating limits of the mooring systems.,hazard,valid,valid,maritime,2023,The utilization of STPA on the ship navigation system,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1010__Marios-Anestis-Koimtzoglou__PUB.pdf,12.0
Expired materials must be revalidated before use.,constraint,valid,valid,laboratory,2023,STPA Applied for Energetic Materials Handling in Research Laboratories,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1100__Karen-Stephanie-de-Andrade__PUB.pdf,13.0
"Exposure of Earth life or human assets off Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
"Exposure of Earth life or human assets on Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
Facility or equipment damage.,loss,valid,valid,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13.0
Fatalities or injury to persons.,loss,valid,valid,aviation,2022,Use of the STPA Technique in the Requirements Definition of a Drone Power Generation System,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-09-1130__Paulo%20Mendes__PUB.pdf,4.0
Fatalities.,loss,invalid,rewrite,water,2018,STPA Application in Hydropower: Piloting Experience,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/Wed-To-PUB-STPA-Application-in-Hydropower-Piloting-Experience.pdf,8.0
Ferromagnetic object exposed to a large magnetic field.,hazard,valid,valid,medicine,2019,STAMP for Hospital Safety,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/4-Wed-Aft__Wong_Singer__undefined__STAMP_HospitalSafety.pdf,9.0
Financial loss or loss of hospital reputation.,loss,valid,valid,medicine,2016,STPA Analysis of Intravenous Patient-Controlled Analgesia,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/06/31-Thomas-W2016.pdf,6.0
Financial loss or loss of hospital reputation.,loss,valid,valid,medicine,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,55.0
Financial loss.,loss,valid,valid,military,2020,STPA Applied to Military Certification Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/08/STPA-Applied-to-Military-Certification.pdf,9.0
Financial losses.,loss,valid,valid,laboratory,2023,STPA Applied for Energetic Materials Handling in Research Laboratories,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1100__Karen-Stephanie-de-Andrade__PUB.pdf,10.0
Fire spread.,hazard,invalid,rewrite,maritime,2023,The utilization of STPA on the ship navigation system,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1010__Marios-Anestis-Koimtzoglou__PUB.pdf,12.0
Flight controls misuse during takeoff run.,hazard,valid,valid,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,33.0
Flight crew is overworked.,hazard,valid,valid,aviation,2019,STPA for Security of Aircraft Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Weller-Fahy__PUB__2019-03-25_MIT-STAMP-Workshop_Weller-Fahy_Presentation.pdf,36.0
Flight in airspace contaminated by VA.,hazard,valid,valid,aviation,2016,26-A STAMP-based Hazard Log for Use during Development and Operations,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/26-ScarinciGiusti-W2016.pdf,18.0
Flight parameters fall outside of performance limits.,hazard,invalid,rewrite,aviation,2019,STPA for Security of Aircraft Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Weller-Fahy__PUB__2019-03-25_MIT-STAMP-Workshop_Weller-Fahy_Presentation.pdf,36.0
Flooding of contiguous watertight compartments.,hazard,invalid,rewrite,maritime,2023,The utilization of STPA on the ship navigation system,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1010__Marios-Anestis-Koimtzoglou__PUB.pdf,12.0
Flying payload may be accidentally thrown by the robotic platform.,hazard,invalid,rewrite,robot,2015,Comparing Sensors’ Characteristics on a Robotic System: The EWaSAP Results Against Designers’ Non-Theoretical Approaches,https://prezi.com/w6ww9e0b2bnu/comparing-sensors-characteristics-on-a-robotic-system-the-ewasap-results-against-designers-non-theoretical-approaches/?utm_campaign=share&utm_medium=copy,27.0
Flying to Close to other aircraft/out of position.,hazard,invalid,rewrite,aviation,2018,STPA-Sec Case Study of a Next Generation Refueling Aircraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/SPAN-STAMP_KC-X-STPA-SEC_FINAL_PA_Approved.pdf,8.0
Follow-up must be provided to ensure that recommendations have been implemented and are effective.,constraint,valid,valid,medicine,2013,Risk Management of Hospital Radiation Therapy,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Helferich-STAMP-Conf-Presentation.pdf,8.0
Food products for sale contain pathogens.,hazard,valid,valid,food,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10.0
Food products for sale contain pathogens.,hazard,valid,valid,food,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,58.0
Food products with pathogens must not be sold.,constraint,valid,valid,food,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,10.0
Food products with pathogens must not be sold.,constraint,valid,valid,food,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,58.0
FRGF is unintendedly separated from HTV before or during capture.,hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
Gear for wrong direction.,hazard,invalid,not,automotive,2012,Combining STPA and Assurance Cases,http://psas.scripts.mit.edu/home/get_pdf.php?name=3-4-Wagner-Combining-STPA-and-Assurance-Cases.pdf,15.0
H2O/Ice (other) Accumulation.,hazard,invalid,rewrite,aviation,2017,A complete STPA Application to the Air Management System of Embraer Regional Jets family,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Andrea-Scarinci_STPA-Application-Air-Management-System-Commercial-Aviation.pdf,6.0
Heat and smoke detectors should trigger an alarm and extinguishing systems.,constraint,valid,valid,maritime,2023,The utilization of STPA on the ship navigation system,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1010__Marios-Anestis-Koimtzoglou__PUB.pdf,12.0
"Heat removal and fission clean up fail when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",hazard,invalid,not,nuclear,2013,Application of STPA to Engineered Safety Features of a Nuclear Power Plant,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/01_Lee_STPA_ESFCCS.pdf,14.0
High pressure water not contained.,hazard,invalid,rewrite,water,2018,STPA Application in Hydropower: Piloting Experience,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/Wed-To-PUB-STPA-Application-in-Hydropower-Piloting-Experience.pdf,8.0
High/Low Air Pressure.,hazard,invalid,rewrite,aviation,2017,A complete STPA Application to the Air Management System of Embraer Regional Jets family,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Andrea-Scarinci_STPA-Application-Air-Management-System-Commercial-Aviation.pdf,6.0
High/Low Air Temperature.,hazard,invalid,rewrite,aviation,2017,A complete STPA Application to the Air Management System of Embraer Regional Jets family,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Andrea-Scarinci_STPA-Application-Air-Management-System-Commercial-Aviation.pdf,6.0
"HTV cannot be separated immediately when grappled unsafely (e.g., windmill).",hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
HTV is drifting to ISS while uncontrolled (deactivated).,hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
HTV is inclined by a large angle in proximity to SSRMS.,hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
HTV provides thrust while captured by SSRMS.,hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
HTV provides unintended attitude control in proximity to SSRMS.,hazard,valid,valid,aerospace,2012,Unmanned Cargo Transfer Spacecraft,https://psas.scripts.mit.edu/home/get_pdf.php?name=1-4-HTV-system-description.pdf,7.0
Human exposure to loud noise.,hazard,valid,valid,medicine,2019,STAMP for Hospital Safety,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/4-Wed-Aft__Wong_Singer__undefined__STAMP_HospitalSafety.pdf,10.0
Human injury or loss of life.,loss,valid,valid,robot,2023,Using STPA to Improve Robotic Manufacturing of a Rocket Motor,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-06-1200__Bryan-Smith__PUB.pdf,5.0
"Human life, injury, motion sickness, fright.",loss,valid,valid,aviation,2019,Active STPA – A Systems-based Hazard Analysis for Safety Management Systems (SMS),http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Diogo-Castilho-on-Active-STPA.pdf,10.0
Human or equipment exposure to cryogen or quench gas.,hazard,valid,valid,medicine,2019,STAMP for Hospital Safety,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/4-Wed-Aft__Wong_Singer__undefined__STAMP_HospitalSafety.pdf,9.0
Human overexposure to large magnetic field or RF field.,hazard,valid,valid,medicine,2019,STAMP for Hospital Safety,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/4-Wed-Aft__Wong_Singer__undefined__STAMP_HospitalSafety.pdf,10.0
Human physical integrity is lost during operations.,hazard,valid,valid,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Human serious injury or loss of life.,loss,valid,valid,maritime,2015,STPA Applied to Port Security,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Williams-Port-Security.pdf,16.0
Humans and/or human assets off of the earth are killed/damaged.,loss,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,13.0
Humans and/or human assets on earth are killed/damaged.,loss,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,13.0
"Humans exposed to radiated energy or to toxic, radioactive, or energetic elements of mission hardware.",hazard,valid,valid,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,10.0
"Humans injured or killed (On earth, in air, in space).",loss,valid,valid,aerospace,2013,The Use of STPA in Satellite Hazard Analysis,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/03_Dunn_STAMP_Conference_Presentation.pdf,9.0
"If a person is detected in doorway during door closing, door closing must be stopped and reversed.",constraint,valid,valid,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49.0
"If control over the ship is lost, then it must be detected and measures should be taken to regain control over the ship.",constraint,valid,valid,maritime,2022,STPA for Passenger Ship Safety Analysis in Bangladesh,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-10-1120__Md%20Imran%20Uddin__PUB.pdf,12.0
"If the control propulsion output stops, System propulsion output shall be gradually ramped to zero with operator notification. Graceful transition to a safe state.",constraint,valid,valid,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22.0
"If toxic chemicals are not contained, damage must be mitigated.",constraint,valid,valid,nuclear,2018,STPA Intro,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/JThomas-Batch-reactor-exercise.pdf,5.0
"If ventilation does not maintain methane level below 2%, this must be detected, electricity must be cut off, and workers must follow specific procedures to reduce the methane content.",constraint,valid,valid,industry,2021,Using STPA to identify conflicts in coal mining safety procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2021/06/2021-06-30-1220__Krzemien.pdf,7.0
"If ventilation does not maintain methane level below 3%, this must be detected, electricity must be cut off, and workers must abandon the workplace immediately.",constraint,valid,valid,industry,2021,Using STPA to identify conflicts in coal mining safety procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2021/06/2021-06-30-1220__Krzemien.pdf,7.0
"If ventilation does not maintain oxygen level over 19%, this must be detected, and workers must use self-rescuers and abandon the workplace.",constraint,valid,valid,industry,2021,Using STPA to identify conflicts in coal mining safety procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2021/06/2021-06-30-1220__Krzemien.pdf,7.0
"If ventilation turned off, the workplace must be abandoned immediately.",constraint,valid,valid,industry,2021,Using STPA to identify conflicts in coal mining safety procedures,https://psas.scripts.mit.edu/home/wp-content/uploads/2021/06/2021-06-30-1220__Krzemien.pdf,7.0
"In areas where terrain masking may occur, the controller shall maintain awareness of aircraft that have requested access to the airspace.",constraint,valid,valid,aviation,2017,STAMP applied to SUAS at Edwards AFB,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Sarah-Summers_Folse_STPA-Applied-To-SUAS-Use-At-Edwards-AFB.pdf,29.0
"In case of budget restriction is unavoidable, the company management shall prioritize the activities without compromising safety or performance aspects.",constraint,valid,valid,military,2020,STPA Applied to Military Certification Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/08/STPA-Applied-to-Military-Certification.pdf,11.0
"In the event of an unintended ignition, the vehicle must remain fixed to the launching rail, avoiding an unplanned route.",constraint,valid,valid,aerospace,2019,STPA Applied to Launch Operations Management,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Merladet__PUB__STPA-MIT-STAMP-WORKSHOP-2019-28-03-19.pdf,13.0
Inability of companies / organizations to operate normally.,hazard,valid,valid,medicine,2021,nalyzing national responses to COVID-19 pandemic using STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2021/06/2021-06-25-1110__Chen.pdf,7.0
Inability of control for intended flight.,hazard,valid,valid,aviation,2013,A systematic safety control approach and practice on flight tests of a low-cost blended-wing-body demonstrator,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_LuYi_Presentation_2rd_STAMP_Workshop.pdf,16.0
Inability of Mission scientific investigators to use returned data.,hazard,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
Inability of Mission to collect data.,hazard,invalid,rewrite,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
Inability of Mission to return collected data.,hazard,invalid,rewrite,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
"Inability of other space exploration missions to use shared space exploration infrastructure to collect, return, or use data.",hazard,valid,valid,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20.0
Inability to complete the mission.,loss,invalid,rewrite,aviation,2017,STPA During Early Concept Formation for Military Rotorcraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/05/STAMP-2017-Workshop-STPA-Presentation-Approved-For-Release.pdf,5.0
Inability to confirm product integrity.,hazard,valid,valid,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain ,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Inability to control the aircraft.,hazard,valid,valid,aviation,2017,STPA During Early Concept Formation for Military Rotorcraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/05/STAMP-2017-Workshop-STPA-Presentation-Approved-For-Release.pdf,6.0
Inability to pay correctly.,hazard,invalid,rewrite,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain ,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Inability to perform physical transport.,hazard,invalid,rewrite,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Inability to produce a usable maneuver.,hazard,invalid,rewrite,aviation,2022,System-Theoretic Process Analysis (STPA) Evaluation of Boeing's Automated Test Maneuvers (ATM) System,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-06-1250__Darren%20McDonald__PUB.pdf,5.0
Inablity to initiate procurement process.,hazard,invalid,rewrite,industry,2017,The use of STPA for understanding cyber risks in a physical supply chain,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Daniel-Sepulveda_STPA-For-Understanding-Cyber-Risks-In-A-Physical-Supply-Chain.pdf,18.0
Inadequate or unrealized launch facilities maintenance.,hazard,invalid,rewrite,aerospace,2019,STPA Applied to Launch Operations Management,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Merladet__PUB__STPA-MIT-STAMP-WORKSHOP-2019-28-03-19.pdf,12.0
Inadvertent Equip. Operation During Maintenance.,hazard,invalid,condition,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8.0
Inappropriate Air Transport (bleed and distribution).,hazard,invalid,rewrite,aviation,2017,A complete STPA Application to the Air Management System of Embraer Regional Jets family,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Andrea-Scarinci_STPA-Application-Air-Management-System-Commercial-Aviation.pdf,6.0
Incorrect information is sent to the display.,hazard,invalid,accident,medicine,2015,Using STPA to support Risk Management for Interoperable Medical Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Procter-Using-STPA-for-RM-in-Interoperable-Medical-Systems.pdf,25.0
Indirect monetary losses.,loss,valid,valid,oil,2022,Offshore Oil Wells Integrity: Subsea Christmas Tree Analysis Using System-Theoretic Process Analysis (STPA),https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-10-1110__Lucas%20Ribeiro%20de%20Almeida__PUB.pdf,7.0
Ineffective treatment.,loss,invalid,not,medicine,2015,STPA Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-STPA-Tutotrial.pdf,13.0
Injury of passenger and crew.,loss,valid,valid,aviation,2016,26-A STAMP-based Hazard Log for Use during Development and Operations,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/26-ScarinciGiusti-W2016.pdf,18.0
Injury or Death.,loss,invalid,rewrite,nuclear,2013,Nuclear Power STPA Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/02_EPRI_MIT_STAMP_Mar2013.pdf,8.0
injury or loss of life.,loss,valid,valid,aviation,2015,Cyber Security in Aircraft Networks Control Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Helfer-aviation-software-presentation.pdf,10.0
Injury or loss of life.,loss,valid,valid,automotive,2022,STPA for Autonomous Vehicles Functions,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-08-1120__Anas%20Shahzad__PUB.pdf,6.0
"Injury or property damage occurring within the vehicle, without a collision.",loss,valid,valid,automotive,2017,Human-Automation Interaction in STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/HumansAndAutomationTutorial_MFrance2017.pdf,39.0
"Injury, loss of life, damage of aircraft or property.",loss,invalid,rewrite,aviation,2017,STPA-Based Model of Threat and Error Management in Dual Flight Instruction,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Ioana-Koglbauer_STPA-based-Model-Of-Threat-And-Error-Management-In-Dual-Flight-Instruction.pdf,6.0
Intellectual Property exposed to unauthorized individuals.,hazard,valid,valid,other,2016,24-Understanding STPA-Sec through a Simple Roller Coaster Example,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/24-BillYoung-W2016.pdf,12.0
Interference with ATC safety-related advisory.,hazard,invalid,rewrite,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21.0
Interference with other safety-related aircraft systems.,hazard,invalid,rewrite,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21.0
Interference with the ground-based ATC system.,hazard,invalid,rewrite,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21.0
IPMS must not sent STOP command unless an emergency condition is indicated.,constraint,valid,valid,medicine,2016,STPA Analysis of Intravenous Patient-Controlled Analgesia,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/06/31-Thomas-W2016.pdf,18.0
IPMS must send STOP command to PCA when patient has been given too much opiod.,constraint,valid,valid,medicine,2016,STPA Analysis of Intravenous Patient-Controlled Analgesia,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/06/31-Thomas-W2016.pdf,18.0
IPMS must sent STOP command within TBD seconds of emergency.,constraint,valid,valid,medicine,2016,STPA Analysis of Intravenous Patient-Controlled Analgesia,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/06/31-Thomas-W2016.pdf,18.0
Laboratorial Equipment or Energetic Materials are not adequately identified and stored.,hazard,valid,valid,laboratory,2023,STPA Applied for Energetic Materials Handling in Research Laboratories,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1100__Karen-Stephanie-de-Andrade__PUB.pdf,11.0
